t_ps,seed,method,eF_equilibrium,eF_km_equilibrium,eF_uniform8,eF_km_uniform8,eF_uniform10,eF_km_uniform10,egradF_equilibrium,egradF_uniform8,egradF_uniform10
0.0,10,abf,3.0745504501193377,28.65691582075067,5.070397668650137,48.24560432552828,6.373627036847375,60.90466825951288,27.761149832642232,35.116509387738816,37.477469413105055
0.0,11,abf,3.04439885181986,28.627690958590716,5.0651122409619695,48.24166463164879,6.373358417087018,60.90528421901798,27.773634627536765,35.11664050984988,37.47736517004339
0.0,12,abf,3.048543314571927,28.632417528195496,5.063794336280084,48.240138998688074,6.37100839693062,60.902810582663435,27.701314963993937,35.112729718710675,37.47451937581221
0.0,13,abf,3.0587931563769635,28.644461959712793,5.062129151618498,48.23884014595709,6.370810734986841,60.902853956827244,27.708135514495464,35.11387374943913,37.4753419689219
1.0,10,abf,1.9165719430418995,25.297104978475804,2.7793737991856076,43.41733949832238,2.955281765542901,55.814564608401966,23.11380145669319,27.891227465911467,31.60196371208464
1.0,11,abf,1.956607336139955,25.336111261134636,2.851594712957542,43.40329140987152,2.971935660889036,55.75517212462932,23.142979999633695,27.845125190159642,31.370102007869075
1.0,12,abf,1.962530074383564,25.286724888006468,2.8413286220947525,43.47251743200562,2.9738865162579557,55.81166611664689,23.150435698935397,27.81287710683086,31.519549483439004
1.0,13,abf,1.9334158858763861,25.31976881119594,2.8057913596169866,43.31905617934459,2.9680330130945407,55.746483719249674,23.14045470748038,27.88319310971667,31.61528127015348
2.0,10,abf,2.6078224748053116,25.016357325542064,4.001167951720968,43.159192457291205,3.6701679346901233,55.016225443061806,23.084706177784867,27.648743809520596,29.648305816960736
2.0,11,abf,2.615861487608919,25.06664408444912,4.03662749298806,43.14118064994531,3.705310375598702,54.997167446981706,23.110038305624432,27.606639253539605,29.486872406743124
2.0,12,abf,2.6344959628393276,25.02759965913181,4.076448266150544,43.170316376715505,3.7447240068618615,55.027560836778186,23.108432412844806,27.581620818929242,29.408029724432144
2.0,13,abf,2.6255567296256825,25.070794425863735,4.076055345815742,43.07647660317425,3.739944210878346,54.93891948098979,23.11643522799916,27.628714854003412,29.49606584497863
3.0,10,abf,3.5326349787151425,24.77651700901736,5.831292686671057,42.86336380282457,5.4010469317502,54.549956448882085,23.064606492319534,27.544610356141416,29.139736020044914
3.0,11,abf,3.5221621174219178,24.798237251387867,5.819139496998643,42.8910064495194,5.393966647806208,54.59201185878803,23.06847713221795,27.521270798822776,29.14040521562347
3.0,12,abf,3.536224036486201,24.732381419821042,5.810568916179442,42.89163986663532,5.385142270863533,54.57750011044777,23.083469692095708,27.552715211081157,29.193631729192894
3.0,13,abf,3.498974434393255,24.8460944974154,5.806522842197276,42.88177180212865,5.3792990667919245,54.574387678894084,23.085158906007184,27.531071230076993,29.157588506654523
4.0,10,abf,5.093194896486316,24.453242503706036,8.997548590034823,42.71418197954224,8.64506795347782,54.15984971353669,23.060508452446577,27.509723820275074,29.121206148355977
4.0,11,abf,5.045802303763834,24.517004014360108,8.935710837926026,42.68794220288268,8.582235498463271,54.1391710076902,23.04800523707572,27.48515650869569,29.10263526429306
4.0,12,abf,5.222623507806228,24.50806011178996,9.29722934241784,42.652325465952245,8.953684690003248,54.06331533356624,23.05706053960642,27.495996729950164,29.11914928255284
4.0,13,abf,5.061129180464307,24.573809420198202,8.984848380085793,42.63530362669998,8.623396714330447,54.06657606633419,23.062721654560523,27.50289187195442,29.106579239014543
5.0,10,abf,6.606835455525484,24.46735906703019,13.234748793801984,42.463171404389435,13.746137332910285,53.29335814839209,22.810561940709697,25.085105157301285,26.03731096133854
